tag_name;cim_obj_id;cim_network_id;cim_obj;odata_type;cim_notify;function
N23P0112_ANB7;_10a2dc11-d092-466c-ba26-b3e2f3a22687;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
N00G0038_IS128;_f4286157-d207-4cfb-abff-a8cbfdc0b10a;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22877_ANM_MVAR_IMP_SP;_7f34b2c4-292a-4320-bde5-e6b50785c4e6;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22877_ANM_MVAR_IMP_SP,CS22877_ANM_MVAR_IMP_SP,1,IccpApi)
ALIAS_449191_r;_ee0036ec-678b-4b88-9603-f842ec1d9e43;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_2899425_E;_a93be302-f791-4dc9-9055-35084bcbcd75;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22973_AUTOMATION_EN;_8076a913-568a-4089-8ab7-ae440c658cc9;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_226180_m;_b991599c-3e49-4615-8064-d72292540edd;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N690078_IS124;_4a787ea0-9c06-4ef5-81a6-9388a8a09526;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
WBUR_ANM_ERROR_7;_0bb90c73-e6f3-4888-8c69-62660f616687;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",WBUR_ANM_ERROR_7,SWBUR_ANM_ERROR_7,1,IccpApi)
N00G0041_ANA2;_46cc75b7-7b8e-40b3-b226-06e3640fca05;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
ALIAS_449403_r;_62b191af-c43c-4525-bc06-0f217413349a;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_3448711_a;_1a121801-e6ad-496b-a432-72945a48c2d1;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_71729_p;_c20cd3af-6eac-4a77-b2bb-c07316d448fa;9ee65c66-317a-407c-971b-41dccdd40c82;Analog;;false;
S23196_LOCAL_MODE;_fe4f7f22-35d4-4edf-afb4-209b5fe3266f;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22930_ANM_MVAR_IMP_SP;_ec0bc23f-6b3b-4cd5-9594-7bd8050e0a0d;9ee65c66-317a-407c-971b-41dccdd40c82;Float;;false;ODataToICCPClient_Float("EAST_MIDLANDS",S22930_ANM_MVAR_IMP_SP,CS22930_ANM_MVAR_IMP_SP,1,IccpApi)
S22877_AUTOMATION_EN;_3edb41e0-993b-436c-8fe9-ec6079c77a12;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N23P0112_CB20;_37f68a80-9a5d-4f56-9f4f-144aa62854a5;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N51G0039_IS403;_6110cb87-da15-4243-8522-1de05141c446;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
S22907_FAILSAFE_IN_OP;_960948fa-0763-4b2a-9474-e518965a43fc;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;ODataToICCPServer_Bool("EAST_MIDLANDS",S22907_FAILSAFE_IN_OP,SS22907_FAILSAFE_IN_OP,1,IccpApi)
ALIAS_5897581_a;_d682224d-e1cb-41ff-8b42-6b3bf3171c19;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_2305630_O;_0ea5dbbf-bd10-4121-a9a4-e2c344c8cf3a;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
ALIAS_163861_m;_9f423657-6a5c-4923-b6da-2bc54c0dd371;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
N00G0038_IS383;_dc3c2ae0-8c17-4c58-b233-73e3d7e3c298;9ee65c66-317a-407c-971b-41dccdd40c82;Bool;;false;
